,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
LKJ Model,0,-1101.3069659971184,9.54878900216454,0.0,0.5812731670413691,10.539256627612009,0.0,True,log
Varying Model,1,-1149.0305638911714,8.736895340161254,4.619323786546902,0.41872683296541324,6.520593921350598,8.307815759326925,True,log
Base Model,2,-1583.5165219313715,-35.20804058838371,97.2354134404768,0.0,28.800133314299064,6.705236700711678,True,log
