d_high_m,d_high_h5,d_high_h95,d_low_m,d_low_h5,d_low_h95,c_high_m,c_high_h5,c_high_h95,c_low_m,c_low_h5,c_low_h95,obs_d_high,obs_d_low,obs_c_high,obs_c_low
2.3895627791105953,2.1619568196949137,2.6634123191730597,0.9288951240520892,0.7709664579212739,1.0921330596364658,-0.1336579312310236,-0.25407625674738743,-0.014149108908831259,0.6439307676456459,0.5652743315096455,0.723481498796029,2.198954232555126,0.9130150731136414,-0.1064484906882807,0.6215309792023509
2.230438431665645,2.068730421745875,2.397971508903388,0.9287597186879634,0.799136702324537,1.0385360423533565,-0.10201933266596475,-0.18132345629390612,-0.019449926687409486,0.5972049285098424,0.5406911885305756,0.6553517801558616,2.1659112583475677,0.9594262145785935,-0.0773921508374251,0.6017513538449663
2.1903099664153958,2.067586179761805,2.3211340936693214,0.9751490299677948,0.8784091451969538,1.072998889519506,-0.061039283048597966,-0.12830045027360268,-0.0001728023080405853,0.6894360297040744,0.6408479331642634,0.738669220176396,2.1484486289335805,0.9453494886271548,-0.029965052296879104,0.7082390829506722
2.052906081010718,1.9499751671912144,2.167549513372485,0.9175506671676629,0.8326706016577315,0.9971274423558218,-0.007009265747514042,-0.06383084844667768,0.04488245273815615,0.6371523765687296,0.5972189034495019,0.6829238240612429,2.0522709818811626,0.9249290081421222,-0.007288159762556432,0.6378865634011206
2.019458981980057,1.9251443804152788,2.112042306030368,0.935434486922854,0.8606482714498944,1.0067558127060536,0.05225903493364763,0.00725567837812652,0.10028147392133818,0.5793578625206562,0.5420120565973255,0.6170280071394975,1.9740820522914828,0.9559442730853942,0.07374051532248987,0.5663165911754238
2.087128815014713,2.001314815931912,2.176836256387874,0.9059294517525724,0.8352514527683234,0.9753102276299833,0.017377211822744293,-0.024648776596902493,0.06201007853356787,0.5856066814276721,0.5519903203104647,0.6206478434896971,2.009791615269635,0.9724621863322754,0.04568229660144791,0.5707726464694081
2.106822613731716,2.0242338056851494,2.188176359577291,0.9258002116565414,0.8605429492625105,0.9874031162685472,0.024890317091416196,-0.0162688667828819,0.06504504561240258,0.5928302772231874,0.5611202091345419,0.6249202553274795,2.042441005529274,0.9796848361809122,0.046885215165859195,0.5916961475372039
2.0762146137779527,1.9968570458223411,2.1492430211403653,0.9221984194574061,0.8653625852224316,0.9854819432141475,-0.02134132788203481,-0.058032677460049385,0.017587294290280588,0.5706454494130294,0.5405827904026568,0.6019958270780265,2.0226045694324704,0.9792358098300736,-0.000627427337754001,0.5744897319866971
2.1016768130660974,2.0296738910376257,2.1751618627697065,0.9192524821959673,0.8605732414630847,0.9745908107946775,0.02681182539942206,-0.010480650337166154,0.062471432917798116,0.5594110553448425,0.529784978527607,0.5857069359222493,2.0444954722018402,0.9799420189474262,0.03960466576913645,0.5565078420387432
2.085807392993912,2.01734663297088,2.1554870670079267,0.9080577418087075,0.8563545546531417,0.965254087880558,0.033544068033927045,-0.0013152148852025125,0.0676297436916039,0.5984197138700819,0.5717849885797832,0.6255420110094605,2.035071762566418,0.9619495140089359,0.03489254094378108,0.5944033400837756
