model,group,d mean,d hdi,c mean,c hdi,rho mean,rho hdi
Model 1,high,2.09,[2.02 2.16],0.03,[-0.    0.07],-0.15,[-0.37  0.06]
Model 1,low,0.91,[0.86 0.96],0.6,[0.57 0.63],-0.62,[-0.77 -0.48]
