,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
LKJ Model,0,-1101.3069659971184,9.54878900216454,0.0,0.5812749985608243,10.539256627612009,0.0,True,log
Varying Model,1,-1149.0305638911714,8.736895340161254,4.619323786546902,0.4187250014391757,6.520593921350598,8.307815759326925,True,log
