,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"d[0, 98]",1.871,0.301,1.366,2.35,0.004,0.003,5215.0,3204.0,1.0
"d[0, 99]",1.941,0.304,1.421,2.423,0.004,0.003,6059.0,2446.0,1.0
"d[1, 0]",0.745,0.243,0.346,1.137,0.003,0.002,6362.0,3239.0,1.0
"d[1, 1]",1.5,0.254,1.066,1.896,0.003,0.002,5886.0,3325.0,1.0
"d[1, 2]",0.692,0.255,0.278,1.116,0.003,0.002,7102.0,3470.0,1.0
"d[1, 3]",0.846,0.241,0.444,1.236,0.003,0.002,5343.0,3141.0,1.0
"d[1, 4]",0.995,0.248,0.593,1.396,0.003,0.002,5808.0,2839.0,1.0
"d[1, 5]",1.037,0.239,0.658,1.438,0.003,0.002,6143.0,2982.0,1.0
"d[1, 6]",0.511,0.258,0.075,0.93,0.003,0.002,6017.0,2992.0,1.0
"d[1, 7]",1.074,0.246,0.669,1.47,0.003,0.002,5458.0,2712.0,1.0
"d[1, 8]",0.893,0.245,0.503,1.309,0.003,0.002,6232.0,2806.0,1.0
"d[1, 9]",0.852,0.26,0.426,1.274,0.003,0.002,6071.0,3189.0,1.0
"d[1, 10]",0.304,0.286,-0.2,0.738,0.004,0.003,5901.0,3269.0,1.0
"d[1, 11]",0.966,0.244,0.59,1.39,0.003,0.002,6015.0,3056.0,1.0
"d[1, 12]",0.791,0.247,0.377,1.174,0.003,0.002,5667.0,3034.0,1.0
"d[1, 13]",0.852,0.238,0.491,1.273,0.003,0.002,6606.0,3234.0,1.0
"d[1, 14]",0.962,0.242,0.543,1.341,0.003,0.002,5661.0,3292.0,1.0
"d[1, 15]",1.168,0.248,0.757,1.571,0.003,0.002,5328.0,2772.0,1.0
"d[1, 16]",1.232,0.25,0.788,1.61,0.003,0.002,6181.0,2957.0,1.0
"d[1, 17]",1.072,0.239,0.693,1.484,0.003,0.002,5758.0,2800.0,1.0
"d[1, 18]",0.924,0.263,0.5,1.361,0.003,0.002,6949.0,3036.0,1.0
"d[1, 19]",0.912,0.242,0.512,1.296,0.004,0.002,4755.0,2898.0,1.0
"d[1, 20]",0.994,0.248,0.595,1.408,0.003,0.002,6225.0,2995.0,1.0
"d[1, 21]",1.677,0.265,1.244,2.118,0.004,0.003,4882.0,3011.0,1.0
"d[1, 22]",1.564,0.26,1.137,1.994,0.004,0.003,4591.0,3214.0,1.0
"d[1, 23]",0.495,0.282,0.035,0.958,0.004,0.003,5896.0,2975.0,1.0
"d[1, 24]",0.853,0.259,0.416,1.266,0.003,0.002,6820.0,2670.0,1.0
"d[1, 25]",1.254,0.262,0.852,1.705,0.003,0.002,7075.0,2976.0,1.0
"d[1, 26]",0.186,0.36,-0.405,0.788,0.005,0.004,4505.0,3165.0,1.0
"d[1, 27]",0.997,0.252,0.602,1.427,0.003,0.002,6643.0,3292.0,1.0
"d[1, 28]",0.575,0.264,0.154,1.025,0.003,0.002,6486.0,3279.0,1.0
"d[1, 29]",0.888,0.249,0.454,1.272,0.003,0.002,8029.0,3094.0,1.0
"d[1, 30]",0.509,0.267,0.074,0.945,0.004,0.003,5248.0,3220.0,1.0
"d[1, 31]",1.174,0.243,0.774,1.557,0.003,0.002,6248.0,3465.0,1.0
"d[1, 32]",0.676,0.243,0.28,1.076,0.003,0.002,5630.0,3260.0,1.0
"d[1, 33]",0.987,0.237,0.589,1.365,0.003,0.002,5666.0,3424.0,1.0
"d[1, 34]",1.486,0.254,1.096,1.931,0.004,0.003,4691.0,2947.0,1.0
"d[1, 35]",0.822,0.245,0.418,1.228,0.003,0.002,6873.0,3156.0,1.0
"d[1, 36]",0.568,0.246,0.14,0.959,0.003,0.003,5111.0,3091.0,1.0
"d[1, 37]",0.136,0.273,-0.3,0.594,0.004,0.004,4940.0,3328.0,1.0
"d[1, 38]",1.098,0.244,0.703,1.514,0.003,0.002,6989.0,2914.0,1.0
"d[1, 39]",0.922,0.242,0.506,1.294,0.003,0.002,4981.0,3272.0,1.0
"d[1, 40]",0.717,0.249,0.302,1.119,0.003,0.002,6044.0,3518.0,1.0
"d[1, 41]",1.002,0.254,0.583,1.426,0.003,0.002,7134.0,3204.0,1.0
"d[1, 42]",0.038,0.3,-0.471,0.502,0.004,0.004,4877.0,3219.0,1.0
"d[1, 43]",0.922,0.259,0.484,1.337,0.003,0.002,6061.0,2729.0,1.0
"d[1, 44]",0.643,0.252,0.24,1.067,0.004,0.003,5145.0,3119.0,1.0
"d[1, 45]",1.444,0.259,1.028,1.882,0.004,0.003,5463.0,3068.0,1.0
"d[1, 46]",1.734,0.277,1.257,2.177,0.004,0.003,4592.0,3009.0,1.0
"d[1, 47]",0.889,0.247,0.498,1.313,0.003,0.002,7263.0,3261.0,1.0
"d[1, 48]",1.041,0.25,0.601,1.415,0.004,0.003,5034.0,3151.0,1.0
"d[1, 49]",1.681,0.31,1.173,2.177,0.005,0.004,4103.0,3062.0,1.0
"d[1, 50]",1.0,0.235,0.616,1.384,0.003,0.002,5622.0,2975.0,1.0
"d[1, 51]",1.002,0.249,0.615,1.421,0.003,0.002,6914.0,2906.0,1.0
"d[1, 52]",0.873,0.244,0.463,1.261,0.003,0.002,6227.0,3418.0,1.0
"d[1, 53]",0.807,0.259,0.367,1.215,0.003,0.002,5794.0,3020.0,1.0
"d[1, 54]",1.034,0.247,0.659,1.465,0.003,0.002,6462.0,2973.0,1.0
"d[1, 55]",1.17,0.25,0.74,1.563,0.003,0.002,5634.0,3015.0,1.0
"d[1, 56]",0.494,0.247,0.1,0.901,0.004,0.003,4883.0,3589.0,1.0
"d[1, 57]",0.278,0.271,-0.167,0.709,0.004,0.003,5537.0,3039.0,1.0
"d[1, 58]",1.175,0.243,0.754,1.557,0.003,0.002,5843.0,3190.0,1.0
"d[1, 59]",0.421,0.265,0.0,0.861,0.004,0.003,4815.0,3452.0,1.0
"d[1, 60]",0.875,0.242,0.461,1.255,0.003,0.002,5749.0,2949.0,1.0
"d[1, 61]",1.33,0.248,0.912,1.726,0.003,0.002,6196.0,2751.0,1.0
"d[1, 62]",1.516,0.258,1.114,1.964,0.004,0.003,5204.0,3333.0,1.0
"d[1, 63]",0.995,0.252,0.588,1.417,0.003,0.002,7081.0,3139.0,1.0
"d[1, 64]",0.452,0.276,0.021,0.922,0.004,0.003,5927.0,3534.0,1.0
"d[1, 65]",0.886,0.254,0.477,1.314,0.003,0.002,6353.0,2501.0,1.0
"d[1, 66]",0.863,0.244,0.466,1.266,0.003,0.002,6521.0,3112.0,1.0
"d[1, 67]",0.725,0.251,0.315,1.138,0.003,0.002,6553.0,3116.0,1.0
"d[1, 68]",1.439,0.252,1.041,1.864,0.003,0.002,5560.0,3382.0,1.0
"d[1, 69]",0.685,0.27,0.248,1.139,0.004,0.003,5843.0,2505.0,1.0
"d[1, 70]",0.276,0.251,-0.13,0.686,0.004,0.003,4401.0,3042.0,1.0
"d[1, 71]",1.056,0.25,0.653,1.481,0.003,0.002,6985.0,2903.0,1.0
"d[1, 72]",0.558,0.253,0.147,0.983,0.003,0.003,5823.0,2911.0,1.0
"d[1, 73]",1.078,0.243,0.656,1.455,0.003,0.002,6140.0,3203.0,1.0
"d[1, 74]",0.783,0.247,0.388,1.196,0.003,0.002,6307.0,3158.0,1.0
"d[1, 75]",1.248,0.248,0.832,1.64,0.003,0.003,5113.0,3326.0,1.0
"d[1, 76]",0.484,0.273,0.033,0.935,0.004,0.003,5687.0,3458.0,1.0
"d[1, 77]",0.634,0.254,0.225,1.064,0.004,0.003,5054.0,3104.0,1.0
"d[1, 78]",1.373,0.249,0.975,1.788,0.003,0.002,5738.0,2814.0,1.0
"d[1, 79]",1.804,0.329,1.297,2.363,0.005,0.004,3965.0,2981.0,1.0
"d[1, 80]",0.585,0.254,0.177,1.002,0.003,0.002,6126.0,3272.0,1.0
"d[1, 81]",0.974,0.262,0.517,1.386,0.004,0.003,5465.0,2161.0,1.0
"d[1, 82]",1.146,0.259,0.729,1.583,0.004,0.003,4604.0,2875.0,1.0
"d[1, 83]",1.222,0.243,0.845,1.641,0.003,0.002,5668.0,2589.0,1.0
"d[1, 84]",1.727,0.296,1.243,2.213,0.005,0.003,4367.0,3134.0,1.0
"d[1, 85]",0.769,0.256,0.333,1.183,0.003,0.002,5931.0,2666.0,1.0
"d[1, 86]",0.982,0.242,0.591,1.379,0.003,0.002,6873.0,3322.0,1.0
"d[1, 87]",0.247,0.289,-0.229,0.707,0.004,0.003,4597.0,2966.0,1.0
