,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"H[1, 52]",0.382,0.083,0.246,0.513,0.001,0.001,10404.0,2883.0,1.0
"H[1, 53]",0.27,0.075,0.14,0.385,0.001,0.001,9865.0,2169.0,1.0
"H[1, 54]",0.363,0.084,0.231,0.505,0.001,0.001,8596.0,2815.0,1.0
"H[1, 55]",0.466,0.084,0.337,0.611,0.001,0.001,8427.0,2892.0,1.0
"H[1, 56]",0.39,0.085,0.26,0.538,0.001,0.001,8827.0,2728.0,1.0
"H[1, 57]",0.174,0.066,0.071,0.28,0.001,0.001,7163.0,2843.0,1.0
"H[1, 58]",0.549,0.088,0.41,0.693,0.001,0.001,9670.0,2835.0,1.0
"H[1, 59]",0.156,0.061,0.058,0.247,0.001,0.001,8420.0,2923.0,1.0
"H[1, 60]",0.382,0.085,0.229,0.508,0.001,0.001,9981.0,2641.0,1.0
"H[1, 61]",0.571,0.09,0.429,0.715,0.001,0.001,7926.0,2346.0,1.0
"H[1, 62]",0.587,0.087,0.445,0.727,0.001,0.001,8200.0,3029.0,1.0
"H[1, 63]",0.327,0.083,0.187,0.46,0.001,0.001,9262.0,2897.0,1.0
"H[1, 64]",0.112,0.052,0.032,0.189,0.001,0.001,8569.0,2751.0,1.0
"H[1, 65]",0.3,0.081,0.165,0.426,0.001,0.001,8117.0,2793.0,1.0
"H[1, 66]",0.507,0.086,0.358,0.639,0.001,0.001,8929.0,3138.0,1.0
"H[1, 67]",0.281,0.077,0.163,0.411,0.001,0.001,7938.0,2768.0,1.0
"H[1, 68]",0.684,0.084,0.556,0.831,0.001,0.001,9356.0,2398.0,1.0
"H[1, 69]",0.163,0.062,0.068,0.262,0.001,0.001,9512.0,2718.0,1.0
"H[1, 70]",0.337,0.083,0.199,0.471,0.001,0.001,8330.0,2894.0,1.0
"H[1, 71]",0.483,0.09,0.336,0.632,0.001,0.001,11089.0,2408.0,1.0
"H[1, 72]",0.261,0.074,0.139,0.38,0.001,0.001,8553.0,2989.0,1.0
"H[1, 73]",0.52,0.088,0.377,0.667,0.001,0.001,7997.0,2530.0,1.0
"H[1, 74]",0.274,0.079,0.15,0.401,0.001,0.001,10614.0,2558.0,1.0
"H[1, 75]",0.666,0.084,0.54,0.816,0.001,0.001,8635.0,2773.0,1.0
"H[1, 76]",0.149,0.06,0.058,0.245,0.001,0.001,8779.0,2714.0,1.0
"H[1, 77]",0.293,0.077,0.171,0.422,0.001,0.001,8022.0,2705.0,1.0
"H[1, 78]",0.522,0.088,0.382,0.673,0.001,0.001,9056.0,2865.0,1.0
"H[1, 79]",0.88,0.056,0.795,0.967,0.001,0.0,6140.0,2673.0,1.0
"H[1, 80]",0.257,0.075,0.137,0.377,0.001,0.001,8361.0,3011.0,1.0
"H[1, 81]",0.246,0.075,0.115,0.362,0.001,0.001,9221.0,2517.0,1.0
"H[1, 82]",0.723,0.079,0.599,0.855,0.001,0.001,7550.0,3140.0,1.0
"H[1, 83]",0.585,0.091,0.439,0.743,0.001,0.001,9329.0,2688.0,1.0
"H[1, 84]",0.835,0.066,0.732,0.943,0.001,0.001,6477.0,3016.0,1.0
"H[1, 85]",0.234,0.072,0.119,0.348,0.001,0.001,9750.0,2701.0,1.0
"H[1, 86]",0.449,0.089,0.299,0.591,0.001,0.001,8880.0,2761.0,1.0
"H[1, 87]",0.095,0.049,0.022,0.164,0.001,0.001,8699.0,2518.0,1.0
"H[1, 88]",0.491,0.087,0.341,0.629,0.001,0.001,8715.0,2730.0,1.0
"H[1, 89]",0.369,0.085,0.237,0.513,0.001,0.001,7980.0,2719.0,1.0
"H[1, 90]",0.402,0.089,0.25,0.547,0.001,0.001,9590.0,2562.0,1.0
"H[1, 91]",0.233,0.072,0.113,0.345,0.001,0.001,9305.0,2697.0,1.0
"H[1, 92]",0.217,0.071,0.098,0.326,0.001,0.001,9440.0,3006.0,1.0
"H[1, 93]",0.393,0.085,0.246,0.526,0.001,0.001,13137.0,2799.0,1.0
"H[1, 94]",0.179,0.063,0.077,0.278,0.001,0.001,8120.0,2589.0,1.0
"H[1, 95]",0.176,0.066,0.069,0.277,0.001,0.001,7753.0,2750.0,1.0
"H[1, 96]",0.199,0.068,0.082,0.298,0.001,0.001,8009.0,3196.0,1.0
"H[1, 97]",0.517,0.09,0.384,0.678,0.001,0.001,9967.0,2622.0,1.0
