,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dl,1.489,0.059,1.387,1.581,0.002,0.001,847.0,1736.0,1.0
"dz[0, 0]",-0.239,0.418,-0.944,0.424,0.006,0.005,4594.0,2816.0,1.0
"dz[0, 1]",0.615,0.487,-0.2,1.394,0.008,0.006,4200.0,2458.0,1.0
"dz[0, 2]",0.576,0.429,-0.127,1.264,0.005,0.005,6457.0,2772.0,1.0
"dz[0, 3]",2.088,0.515,1.31,2.973,0.006,0.005,8194.0,2751.0,1.0
"dz[0, 4]",0.861,0.439,0.12,1.555,0.006,0.005,4978.0,2746.0,1.0
"dz[0, 5]",0.326,0.414,-0.334,1.032,0.006,0.005,5676.0,3097.0,1.0
"dz[0, 6]",0.944,0.449,0.226,1.694,0.006,0.005,4969.0,2888.0,1.0
"dz[0, 7]",0.498,0.546,-0.363,1.419,0.01,0.008,3283.0,2510.0,1.0
"dz[0, 8]",2.032,0.537,1.137,2.894,0.008,0.006,4484.0,3167.0,1.0
"dz[0, 9]",1.31,0.492,0.478,2.083,0.008,0.006,4109.0,2977.0,1.0
"dz[0, 10]",0.009,0.41,-0.639,0.697,0.005,0.007,6120.0,3179.0,1.0
"dz[0, 11]",1.489,0.531,0.63,2.36,0.009,0.006,3777.0,2937.0,1.0
"dz[0, 12]",0.59,0.453,-0.158,1.322,0.007,0.005,4676.0,3096.0,1.0
"dz[0, 13]",0.49,0.422,-0.218,1.152,0.006,0.005,4995.0,3366.0,1.0
"dz[0, 14]",0.11,0.393,-0.522,0.762,0.006,0.006,4228.0,3074.0,1.0
"dz[0, 15]",0.682,0.556,-0.219,1.606,0.009,0.007,4058.0,2949.0,1.0
"dz[0, 16]",-0.0,0.407,-0.658,0.669,0.005,0.007,5883.0,2941.0,1.0
"dz[0, 17]",1.096,0.438,0.383,1.8,0.007,0.005,4311.0,3094.0,1.0
"dz[0, 18]",1.109,0.481,0.301,1.882,0.007,0.005,4569.0,3250.0,1.0
"dz[0, 19]",0.309,0.407,-0.356,0.968,0.006,0.005,5261.0,3097.0,1.0
"dz[0, 20]",1.393,0.481,0.612,2.167,0.006,0.005,6106.0,2936.0,1.0
"dz[0, 21]",0.254,0.413,-0.433,0.921,0.006,0.006,4622.0,3032.0,1.0
"dz[0, 22]",1.14,0.451,0.418,1.901,0.007,0.005,4851.0,2742.0,1.0
"dz[0, 23]",0.897,0.479,0.099,1.686,0.007,0.005,4513.0,2824.0,1.0
"dz[0, 24]",1.413,0.475,0.688,2.25,0.006,0.005,5580.0,2868.0,1.0
"dz[0, 25]",0.211,0.567,-0.728,1.11,0.01,0.009,3180.0,2403.0,1.0
"dz[0, 26]",0.388,0.415,-0.259,1.079,0.005,0.005,5810.0,3513.0,1.0
"dz[0, 27]",0.587,0.406,-0.082,1.25,0.005,0.005,6318.0,2856.0,1.0
"dz[0, 28]",0.817,0.423,0.068,1.461,0.006,0.004,5636.0,2931.0,1.0
"dz[0, 29]",-0.726,0.401,-1.347,-0.039,0.006,0.005,4882.0,2964.0,1.0
"dz[0, 30]",-0.897,0.386,-1.543,-0.293,0.006,0.004,4398.0,3152.0,1.0
"dz[0, 31]",-0.932,0.41,-1.603,-0.278,0.006,0.004,4248.0,2566.0,1.0
"dz[0, 32]",1.543,0.467,0.809,2.36,0.006,0.005,5461.0,3250.0,1.0
"dz[0, 33]",0.101,0.412,-0.577,0.784,0.005,0.007,7282.0,3333.0,1.0
"dz[0, 34]",1.14,0.452,0.417,1.901,0.007,0.005,4568.0,3082.0,1.0
"dz[0, 35]",-1.005,0.373,-1.632,-0.412,0.006,0.004,4402.0,2949.0,1.0
"dz[0, 36]",1.125,0.446,0.383,1.834,0.005,0.004,6966.0,3071.0,1.0
"dz[0, 37]",-0.046,0.404,-0.728,0.596,0.006,0.006,5115.0,3337.0,1.0
"dz[0, 38]",-0.274,0.387,-0.899,0.371,0.005,0.005,5642.0,2767.0,1.0
"dz[0, 39]",1.185,0.449,0.387,1.871,0.006,0.005,5721.0,2801.0,1.0
"dz[0, 40]",0.181,0.4,-0.472,0.829,0.006,0.006,4790.0,3385.0,1.0
"dz[0, 41]",0.007,0.401,-0.615,0.681,0.006,0.006,5134.0,3079.0,1.0
"dz[0, 42]",-0.66,0.386,-1.277,-0.025,0.006,0.004,4575.0,2827.0,1.0
"dz[0, 43]",-0.233,0.386,-0.803,0.456,0.006,0.005,4545.0,3158.0,1.0
"dz[0, 44]",1.251,0.467,0.424,1.955,0.006,0.005,5807.0,3114.0,1.0
"dz[0, 45]",0.839,0.412,0.127,1.48,0.006,0.004,5404.0,3274.0,1.0
"dz[0, 46]",1.176,0.532,0.358,2.083,0.009,0.007,3598.0,2802.0,1.0
"dz[0, 47]",0.668,0.44,-0.018,1.419,0.006,0.005,5098.0,3040.0,1.0
"dz[0, 48]",1.218,0.463,0.501,1.991,0.005,0.004,7530.0,2877.0,1.0
"dz[0, 49]",0.103,0.605,-0.905,1.07,0.008,0.011,5856.0,2439.0,1.0
"dz[0, 50]",0.769,0.422,0.082,1.476,0.005,0.004,6268.0,2876.0,1.0
"dz[0, 51]",0.763,0.425,0.08,1.456,0.006,0.005,5035.0,2806.0,1.0
"dz[0, 52]",2.306,0.541,1.434,3.176,0.007,0.005,6141.0,2854.0,1.0
"dz[0, 53]",-0.047,0.397,-0.711,0.584,0.006,0.006,4916.0,3269.0,1.0
"dz[0, 54]",1.736,0.496,0.909,2.535,0.007,0.005,5646.0,2954.0,1.0
"dz[0, 55]",-0.099,0.401,-0.759,0.556,0.005,0.007,5673.0,2776.0,1.0
"dz[0, 56]",1.061,0.54,0.219,1.957,0.008,0.007,4244.0,2968.0,1.0
"dz[0, 57]",0.155,0.402,-0.513,0.785,0.006,0.007,4043.0,2761.0,1.0
"dz[0, 58]",1.499,0.551,0.638,2.442,0.008,0.006,4891.0,2554.0,1.0
"dz[0, 59]",1.089,0.536,0.17,1.914,0.009,0.007,3367.0,2951.0,1.0
"dz[0, 60]",0.816,0.433,0.094,1.501,0.005,0.005,6849.0,2394.0,1.0
"dz[0, 61]",0.811,0.533,-0.084,1.662,0.008,0.007,4515.0,2825.0,1.0
"dz[0, 62]",1.618,0.499,0.786,2.407,0.007,0.006,4903.0,3044.0,1.0
"dz[0, 63]",0.887,0.464,0.156,1.672,0.006,0.005,6943.0,2577.0,1.0
"dz[0, 64]",0.77,0.426,0.078,1.487,0.006,0.005,6072.0,2514.0,1.0
"dz[0, 65]",0.554,0.446,-0.177,1.265,0.007,0.006,4059.0,3006.0,1.0
"dz[0, 66]",-0.16,0.417,-0.832,0.532,0.006,0.006,4252.0,3247.0,1.0
"dz[0, 67]",0.48,0.441,-0.268,1.168,0.006,0.005,6114.0,2877.0,1.0
"dz[0, 68]",0.922,0.426,0.208,1.611,0.006,0.005,4817.0,2825.0,1.0
"dz[0, 69]",1.293,0.462,0.526,2.033,0.007,0.005,4765.0,2757.0,1.0
"dz[0, 70]",-0.327,0.401,-1.038,0.284,0.006,0.005,4911.0,3223.0,1.0
"dz[0, 71]",0.288,0.556,-0.588,1.211,0.009,0.008,3650.0,2767.0,1.0
"dz[0, 72]",-0.163,0.499,-0.973,0.656,0.008,0.007,3575.0,2950.0,1.0
"dz[0, 73]",0.406,0.406,-0.239,1.083,0.005,0.005,5501.0,3111.0,1.0
"dz[0, 74]",0.42,0.421,-0.266,1.119,0.006,0.005,5529.0,3099.0,1.0
"dz[0, 75]",0.576,0.542,-0.316,1.438,0.009,0.007,3746.0,3058.0,1.0
"dz[0, 76]",-1.121,0.365,-1.713,-0.512,0.005,0.004,4856.0,3071.0,1.0
"dz[0, 77]",0.718,0.429,-0.009,1.398,0.006,0.005,4665.0,2868.0,1.0
"dz[0, 78]",0.936,0.466,0.152,1.674,0.007,0.005,4964.0,2597.0,1.0
"dz[0, 79]",1.192,0.447,0.507,1.966,0.007,0.005,4448.0,2671.0,1.0
"dz[0, 80]",0.46,0.419,-0.223,1.141,0.005,0.005,6059.0,2894.0,1.0
"dz[0, 81]",0.992,0.447,0.261,1.715,0.006,0.005,5264.0,2834.0,1.0
"dz[0, 82]",0.459,0.417,-0.143,1.238,0.006,0.005,5376.0,2335.0,1.0
"dz[0, 83]",1.22,0.468,0.498,2.028,0.006,0.005,5905.0,2771.0,1.0
"dz[0, 84]",2.023,0.54,1.117,2.886,0.008,0.006,4699.0,3066.0,1.0
"dz[0, 85]",0.994,0.487,0.192,1.789,0.007,0.006,4372.0,3567.0,1.0
"dz[0, 86]",0.681,0.432,0.009,1.402,0.006,0.005,5107.0,2990.0,1.0
"dz[0, 87]",1.322,0.548,0.427,2.231,0.008,0.007,5023.0,2866.0,1.0
"dz[0, 88]",0.837,0.448,0.127,1.573,0.005,0.005,7288.0,2797.0,1.0
"dz[0, 89]",0.455,0.424,-0.259,1.122,0.006,0.005,4945.0,3057.0,1.0
"dz[0, 90]",0.107,0.398,-0.522,0.769,0.005,0.006,5479.0,3044.0,1.0
"dz[0, 91]",-0.125,0.39,-0.797,0.498,0.006,0.006,4624.0,2946.0,1.0
"dz[0, 92]",-0.566,0.375,-1.213,0.036,0.005,0.004,5056.0,3447.0,1.0
"dz[0, 93]",0.219,0.411,-0.476,0.861,0.005,0.006,5996.0,3031.0,1.0
"dz[0, 94]",0.569,0.543,-0.274,1.5,0.009,0.007,3866.0,2966.0,1.0
"dz[0, 95]",1.734,0.485,0.962,2.544,0.006,0.005,6050.0,3065.0,1.0
"dz[0, 96]",1.382,0.465,0.636,2.144,0.006,0.005,5657.0,2771.0,1.0
"dz[0, 97]",0.562,0.533,-0.242,1.483,0.009,0.008,3493.0,2810.0,1.0
"dz[0, 98]",0.317,0.405,-0.351,0.962,0.006,0.005,4948.0,3509.0,1.0
"dz[0, 99]",0.481,0.451,-0.23,1.236,0.006,0.006,5645.0,2766.0,1.0
"dz[1, 0]",-0.958,0.386,-1.575,-0.291,0.005,0.004,4993.0,3078.0,1.0
"dz[1, 1]",0.385,0.404,-0.279,1.037,0.005,0.005,6129.0,2393.0,1.0
"dz[1, 2]",-1.001,0.401,-1.634,-0.325,0.006,0.004,4833.0,2628.0,1.0
"dz[1, 3]",-0.782,0.385,-1.42,-0.152,0.005,0.004,4916.0,2951.0,1.0
"dz[1, 4]",-0.419,0.407,-1.117,0.208,0.005,0.005,5626.0,2982.0,1.0
"dz[1, 5]",-0.385,0.407,-1.041,0.286,0.006,0.005,4938.0,2380.0,1.0
"dz[1, 6]",-1.234,0.413,-1.888,-0.554,0.005,0.004,5662.0,3239.0,1.0
"dz[1, 7]",-0.449,0.377,-1.025,0.204,0.005,0.004,5409.0,2695.0,1.0
"dz[1, 8]",-0.617,0.399,-1.292,0.02,0.006,0.004,4884.0,3303.0,1.0
"dz[1, 9]",-0.462,0.436,-1.194,0.249,0.005,0.005,6963.0,3140.0,1.0
"dz[1, 10]",-1.442,0.453,-2.193,-0.712,0.006,0.005,5334.0,3262.0,1.0
"dz[1, 11]",-0.542,0.387,-1.181,0.082,0.005,0.005,5855.0,2558.0,1.0
"dz[1, 12]",-0.811,0.396,-1.486,-0.204,0.005,0.004,5375.0,2794.0,1.0
"dz[1, 13]",-0.789,0.384,-1.415,-0.152,0.006,0.004,4467.0,3028.0,1.0
"dz[1, 14]",-0.716,0.376,-1.325,-0.101,0.005,0.004,5531.0,2951.0,1.0
"dz[1, 15]",-0.104,0.411,-0.799,0.531,0.005,0.008,6784.0,2432.0,1.0
"dz[1, 16]",-0.24,0.395,-0.877,0.404,0.006,0.006,5066.0,3013.0,1.0
"dz[1, 17]",-0.439,0.375,-1.069,0.173,0.005,0.004,6160.0,2749.0,1.0
