,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[0, 39]",0.168,0.184,-0.162,0.448,0.003,0.002,4741.0,3188.0,1.0
"c[0, 40]",0.257,0.155,0.009,0.516,0.002,0.002,5937.0,3297.0,1.0
"c[0, 41]",0.073,0.152,-0.175,0.319,0.002,0.002,5233.0,3626.0,1.0
"c[0, 42]",0.505,0.148,0.256,0.738,0.002,0.001,5637.0,3162.0,1.0
"c[0, 43]",0.085,0.155,-0.145,0.361,0.002,0.002,4799.0,3427.0,1.0
"c[0, 44]",0.596,0.185,0.298,0.896,0.002,0.002,6083.0,2878.0,1.0
"c[0, 45]",0.165,0.172,-0.119,0.443,0.002,0.002,5201.0,2912.0,1.0
"c[0, 46]",-0.546,0.234,-0.91,-0.147,0.004,0.003,3423.0,2201.0,1.0
"c[0, 47]",-0.055,0.173,-0.347,0.22,0.003,0.002,4663.0,3559.0,1.0
"c[0, 48]",0.466,0.187,0.164,0.784,0.002,0.002,6132.0,2933.0,1.0
"c[0, 49]",1.756,0.281,1.327,2.239,0.005,0.003,4295.0,2564.0,1.0
"c[0, 50]",0.271,0.167,0.002,0.545,0.002,0.002,4915.0,2953.0,1.0
"c[0, 51]",0.132,0.164,-0.124,0.409,0.002,0.002,5082.0,3244.0,1.0
"c[0, 52]",0.291,0.231,-0.062,0.684,0.003,0.003,5344.0,3129.0,1.0
"c[0, 53]",0.049,0.152,-0.204,0.283,0.002,0.002,4710.0,2990.0,1.0
"c[0, 54]",0.242,0.198,-0.072,0.568,0.003,0.002,5665.0,3117.0,1.0
"c[0, 55]",0.028,0.154,-0.221,0.276,0.002,0.002,5742.0,3517.0,1.0
"c[0, 56]",-0.616,0.231,-0.998,-0.253,0.004,0.003,4129.0,2427.0,1.0
"c[0, 57]",0.012,0.158,-0.258,0.262,0.002,0.002,4698.0,3311.0,1.0
"c[0, 58]",-0.4,0.242,-0.747,0.045,0.004,0.004,3372.0,1890.0,1.0
"c[0, 59]",-0.605,0.233,-0.959,-0.207,0.004,0.003,3561.0,2815.0,1.0
"c[0, 60]",0.522,0.174,0.228,0.806,0.002,0.002,6257.0,3073.0,1.0
"c[0, 61]",-0.756,0.249,-1.167,-0.367,0.005,0.004,2945.0,2341.0,1.0
"c[0, 62]",-0.031,0.206,-0.373,0.307,0.003,0.003,4374.0,3181.0,1.0
"c[0, 63]",0.764,0.184,0.447,1.051,0.002,0.002,6581.0,2735.0,1.0
"c[0, 64]",0.267,0.166,-0.007,0.543,0.002,0.002,6939.0,3270.0,1.0
"c[0, 65]",-0.287,0.177,-0.559,0.018,0.003,0.002,4141.0,2927.0,1.0
"c[0, 66]",-0.412,0.168,-0.682,-0.131,0.003,0.002,4129.0,3126.0,1.0
"c[0, 67]",0.785,0.17,0.512,1.065,0.002,0.002,6885.0,3135.0,1.0
