,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"F[1, 5]",0.121,0.036,0.062,0.177,0.0,0.0,6818.0,2823.0,1.0
"F[1, 6]",0.117,0.036,0.06,0.174,0.0,0.0,6958.0,2895.0,1.0
"F[1, 7]",0.197,0.043,0.124,0.264,0.001,0.0,6652.0,2831.0,1.0
"F[1, 8]",0.12,0.036,0.062,0.175,0.0,0.0,5705.0,2943.0,1.0
"F[1, 9]",0.058,0.025,0.02,0.096,0.0,0.0,6376.0,3085.0,1.0
"F[1, 10]",0.079,0.029,0.035,0.126,0.0,0.0,6252.0,2769.0,1.0
"F[1, 11]",0.146,0.039,0.082,0.206,0.001,0.0,5844.0,2937.0,1.0
"F[1, 12]",0.132,0.037,0.074,0.191,0.0,0.0,6658.0,2858.0,1.01
"F[1, 13]",0.169,0.042,0.096,0.234,0.0,0.0,7247.0,2977.0,1.0
"F[1, 14]",0.257,0.048,0.181,0.338,0.001,0.0,6354.0,2751.0,1.0
"F[1, 15]",0.098,0.032,0.047,0.149,0.0,0.0,6467.0,2922.0,1.0
"F[1, 16]",0.236,0.046,0.158,0.31,0.0,0.0,8680.0,2475.0,1.0
"F[1, 17]",0.196,0.042,0.125,0.264,0.0,0.0,7719.0,3107.0,1.0
"F[1, 18]",0.084,0.031,0.033,0.129,0.0,0.0,7067.0,2877.0,1.0
"F[1, 19]",0.207,0.046,0.13,0.28,0.001,0.0,6454.0,2657.0,1.0
"F[1, 20]",0.084,0.03,0.036,0.132,0.0,0.0,5813.0,3012.0,1.0
"F[1, 21]",0.138,0.038,0.077,0.198,0.0,0.0,6359.0,2787.0,1.0
"F[1, 22]",0.25,0.048,0.173,0.328,0.001,0.0,7039.0,2752.0,1.0
"F[1, 23]",0.056,0.024,0.018,0.093,0.0,0.0,6901.0,2994.0,1.0
"F[1, 24]",0.058,0.025,0.02,0.097,0.0,0.0,5412.0,2861.0,1.0
"F[1, 25]",0.049,0.023,0.015,0.084,0.0,0.0,4930.0,2427.0,1.0
"F[1, 26]",0.02,0.014,0.001,0.039,0.0,0.0,5642.0,3137.0,1.0
"F[1, 27]",0.085,0.031,0.035,0.131,0.0,0.0,6636.0,2688.0,1.0
"F[1, 28]",0.093,0.031,0.042,0.142,0.0,0.0,5734.0,2906.0,1.0
"F[1, 29]",0.096,0.032,0.045,0.147,0.0,0.0,6052.0,2580.0,1.0
"F[1, 30]",0.117,0.034,0.057,0.17,0.0,0.0,6774.0,3017.0,1.0
"F[1, 31]",0.186,0.043,0.118,0.256,0.001,0.0,7269.0,2838.0,1.0
"F[1, 32]",0.218,0.045,0.144,0.288,0.001,0.0,6450.0,3181.0,1.0
"F[1, 33]",0.171,0.04,0.102,0.233,0.0,0.0,6846.0,2938.0,1.0
"F[1, 34]",0.187,0.044,0.118,0.258,0.001,0.0,6459.0,2794.0,1.0
"F[1, 35]",0.295,0.05,0.21,0.374,0.001,0.0,6294.0,2639.0,1.0
"F[1, 36]",0.407,0.055,0.323,0.504,0.001,0.001,6213.0,2780.0,1.0
"F[1, 37]",0.201,0.045,0.121,0.267,0.001,0.0,6741.0,2746.0,1.0
"F[1, 38]",0.097,0.033,0.044,0.148,0.0,0.0,7121.0,2779.0,1.0
"F[1, 39]",0.108,0.034,0.056,0.164,0.0,0.0,8076.0,2992.0,1.0
"F[1, 40]",0.131,0.036,0.072,0.186,0.0,0.0,6175.0,2563.0,1.0
"F[1, 41]",0.059,0.025,0.021,0.099,0.0,0.0,6739.0,2863.0,1.0
"F[1, 42]",0.138,0.037,0.078,0.199,0.0,0.0,6639.0,2547.0,1.0
"F[1, 43]",0.083,0.03,0.032,0.127,0.0,0.0,7379.0,2627.0,1.0
"F[1, 44]",0.458,0.055,0.371,0.553,0.001,0.0,8334.0,2920.0,1.0
"F[1, 45]",0.262,0.048,0.184,0.34,0.001,0.0,7435.0,2954.0,1.0
"F[1, 46]",0.216,0.046,0.139,0.29,0.001,0.0,7145.0,2793.0,1.0
"F[1, 47]",0.12,0.035,0.066,0.179,0.0,0.0,6740.0,2899.0,1.0
"F[1, 48]",0.348,0.051,0.262,0.43,0.001,0.0,6854.0,3086.0,1.0
"F[1, 49]",0.341,0.053,0.25,0.424,0.001,0.0,6804.0,2635.0,1.0
"F[1, 50]",0.196,0.044,0.125,0.269,0.001,0.0,6872.0,2329.0,1.0
"F[1, 51]",0.133,0.037,0.073,0.19,0.0,0.0,6967.0,2888.0,1.0
"F[1, 52]",0.157,0.04,0.09,0.22,0.0,0.0,7540.0,2842.0,1.0
"F[1, 53]",0.095,0.031,0.046,0.145,0.0,0.0,6890.0,2840.0,1.0
"F[1, 54]",0.097,0.033,0.041,0.147,0.0,0.0,6997.0,2954.0,1.0
"F[1, 55]",0.122,0.036,0.066,0.182,0.0,0.0,7127.0,2848.0,1.0
"F[1, 56]",0.317,0.051,0.234,0.402,0.001,0.0,6904.0,3283.0,1.0
"F[1, 57]",0.177,0.042,0.107,0.243,0.0,0.0,6878.0,2961.0,1.0
"F[1, 58]",0.185,0.043,0.114,0.253,0.001,0.0,7109.0,2840.0,1.0
"F[1, 59]",0.118,0.035,0.059,0.17,0.0,0.0,6471.0,3012.0,1.0
"F[1, 60]",0.157,0.04,0.09,0.219,0.0,0.0,7544.0,2584.0,1.0
"F[1, 61]",0.149,0.04,0.086,0.217,0.0,0.0,7089.0,2477.0,1.0
"F[1, 62]",0.101,0.034,0.046,0.153,0.0,0.0,6343.0,2679.0,1.0
"F[1, 63]",0.084,0.03,0.033,0.129,0.0,0.0,6258.0,2679.0,1.0
"F[1, 64]",0.068,0.027,0.025,0.11,0.0,0.0,7359.0,2900.0,1.0
"F[1, 65]",0.096,0.031,0.047,0.146,0.0,0.0,6524.0,2753.0,1.01
"F[1, 66]",0.271,0.051,0.188,0.353,0.001,0.0,6958.0,2540.0,1.0
"F[1, 67]",0.132,0.037,0.073,0.193,0.0,0.0,6230.0,2868.0,1.0
"F[1, 68]",0.213,0.046,0.14,0.287,0.001,0.0,7375.0,2374.0,1.0
"F[1, 69]",0.058,0.026,0.017,0.097,0.0,0.0,6579.0,2469.0,1.0
"F[1, 70]",0.366,0.054,0.281,0.458,0.001,0.0,7705.0,2722.0,1.0
"F[1, 71]",0.171,0.041,0.1,0.232,0.001,0.0,6722.0,2744.0,1.0
"F[1, 72]",0.168,0.04,0.104,0.232,0.0,0.0,6865.0,3214.0,1.0
"F[1, 73]",0.197,0.044,0.129,0.272,0.001,0.0,7511.0,2949.0,1.0
"F[1, 74]",0.107,0.034,0.052,0.161,0.0,0.0,5778.0,2723.0,1.0
"F[1, 75]",0.272,0.05,0.185,0.349,0.001,0.0,6218.0,2305.0,1.0
"F[1, 76]",0.093,0.032,0.042,0.143,0.0,0.0,7203.0,2655.0,1.0
"F[1, 77]",0.168,0.041,0.102,0.233,0.0,0.0,9207.0,2767.0,1.0
"F[1, 78]",0.099,0.033,0.046,0.149,0.0,0.0,6822.0,2670.0,1.0
"F[1, 79]",0.38,0.055,0.286,0.469,0.001,0.001,5986.0,2784.0,1.0
"F[1, 80]",0.155,0.041,0.088,0.22,0.001,0.0,6141.0,2401.0,1.0
"F[1, 81]",0.048,0.022,0.013,0.082,0.0,0.0,5348.0,3209.0,1.0
"F[1, 82]",0.399,0.055,0.312,0.492,0.001,0.0,7760.0,2714.0,1.0
"F[1, 83]",0.197,0.044,0.123,0.266,0.001,0.0,7578.0,2778.0,1.0
"F[1, 84]",0.304,0.053,0.215,0.387,0.001,0.001,5148.0,2603.0,1.0
"F[1, 85]",0.082,0.031,0.032,0.128,0.0,0.0,6583.0,3059.0,1.0
"F[1, 86]",0.171,0.042,0.101,0.237,0.0,0.0,7359.0,3010.0,1.0
"F[1, 87]",0.103,0.033,0.051,0.154,0.0,0.0,6067.0,2582.0,1.0
"F[1, 88]",0.209,0.044,0.138,0.279,0.001,0.0,6002.0,3483.0,1.0
"F[1, 89]",0.231,0.047,0.157,0.309,0.001,0.0,6370.0,2548.0,1.0
"F[1, 90]",0.121,0.035,0.062,0.177,0.0,0.0,7000.0,2622.0,1.0
"F[1, 91]",0.082,0.03,0.036,0.13,0.0,0.0,6769.0,2751.0,1.0
"F[1, 92]",0.118,0.036,0.057,0.172,0.0,0.0,7692.0,2875.0,1.0
"F[1, 93]",0.098,0.033,0.043,0.147,0.0,0.0,7218.0,2965.0,1.0
"F[1, 94]",0.035,0.019,0.005,0.062,0.0,0.0,5795.0,2710.0,1.0
"F[1, 95]",0.19,0.043,0.12,0.259,0.001,0.0,7186.0,2542.0,1.0
"F[1, 96]",0.07,0.028,0.024,0.111,0.0,0.0,6003.0,2748.0,1.0
"F[1, 97]",0.087,0.031,0.033,0.131,0.0,0.0,7484.0,2998.0,1.0
"F[1, 98]",0.067,0.027,0.024,0.107,0.0,0.0,6384.0,2708.0,1.0
"F[1, 99]",0.069,0.027,0.03,0.115,0.0,0.0,5773.0,3000.0,1.0
