,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
d_high_mean,2.083,0.073,1.962,2.202,0.001,0.001,2508.0,2549.0,1.0
c_high_mean,0.032,0.057,-0.063,0.123,0.001,0.001,4213.0,2818.0,1.0
"high[0, 0]",1.533,0.314,1.002,2.026,0.005,0.004,3744.0,2917.0,1.0
"high[0, 1]",-0.513,0.17,-0.806,-0.241,0.003,0.002,4011.0,2813.0,1.0
"high[1, 0]",2.16,0.368,1.577,2.785,0.007,0.005,3316.0,2623.0,1.0
"high[1, 1]",-0.549,0.194,-0.857,-0.223,0.003,0.003,3317.0,2482.0,1.0
"high[2, 0]",2.008,0.301,1.501,2.487,0.004,0.003,6800.0,2959.0,1.0
"high[2, 1]",0.577,0.171,0.305,0.866,0.002,0.002,5694.0,2931.0,1.0
"high[3, 0]",3.026,0.377,2.434,3.679,0.005,0.004,5487.0,2942.0,1.0
"high[3, 1]",0.338,0.209,-0.006,0.681,0.003,0.002,5770.0,2979.0,1.0
"high[4, 0]",2.252,0.321,1.719,2.78,0.005,0.003,4540.0,3161.0,1.0
"high[4, 1]",-0.024,0.171,-0.305,0.246,0.002,0.003,5326.0,3107.0,1.0
"high[5, 0]",1.869,0.29,1.409,2.339,0.004,0.003,5397.0,3029.0,1.0
"high[5, 1]",0.033,0.157,-0.235,0.283,0.002,0.002,5461.0,2815.0,1.0
"high[6, 0]",2.265,0.307,1.772,2.773,0.004,0.003,5001.0,2659.0,1.0
"high[6, 1]",0.418,0.173,0.14,0.7,0.002,0.002,6905.0,2758.0,1.0
"high[7, 0]",2.176,0.43,1.449,2.838,0.008,0.006,2854.0,1883.0,1.0
"high[7, 1]",-0.962,0.23,-1.304,-0.572,0.004,0.003,2986.0,2196.0,1.0
"high[8, 0]",3.062,0.398,2.418,3.692,0.007,0.005,3589.0,2967.0,1.0
"high[8, 1]",-0.147,0.221,-0.514,0.22,0.004,0.003,4111.0,3052.0,1.0
"high[9, 0]",2.586,0.352,2.021,3.175,0.006,0.004,3668.0,2922.0,1.0
"high[9, 1]",-0.209,0.195,-0.542,0.09,0.003,0.003,3550.0,2523.0,1.0
"high[10, 0]",1.609,0.31,1.109,2.13,0.004,0.003,7471.0,3091.0,1.0
"high[10, 1]",0.811,0.164,0.528,1.07,0.002,0.002,6283.0,2973.0,1.0
"high[11, 0]",2.764,0.401,2.113,3.416,0.008,0.006,2644.0,2669.0,1.0
"high[11, 1]",-0.414,0.222,-0.768,-0.049,0.004,0.003,2939.0,2479.0,1.0
"high[12, 0]",2.104,0.325,1.582,2.645,0.005,0.004,4450.0,2967.0,1.0
"high[12, 1]",-0.321,0.173,-0.606,-0.032,0.003,0.002,4187.0,3302.0,1.0
"high[13, 0]",2.012,0.305,1.492,2.493,0.005,0.003,4243.0,3173.0,1.0
"high[13, 1]",-0.188,0.166,-0.469,0.075,0.003,0.002,3815.0,3129.0,1.0
"high[14, 0]",1.705,0.28,1.266,2.187,0.004,0.003,5441.0,3127.0,1.0
"high[14, 1]",0.174,0.153,-0.1,0.403,0.002,0.002,5136.0,3133.0,1.0
"high[15, 0]",2.285,0.43,1.55,2.958,0.009,0.006,2636.0,2289.0,1.0
"high[15, 1]",-0.859,0.233,-1.236,-0.484,0.004,0.003,2898.0,2330.0,1.0
"high[16, 0]",1.612,0.292,1.153,2.111,0.004,0.003,5411.0,2788.0,1.0
"high[16, 1]",0.622,0.16,0.383,0.895,0.002,0.001,6635.0,2709.0,1.0
"high[17, 0]",2.4,0.316,1.906,2.946,0.005,0.003,4524.0,3118.0,1.0
"high[17, 1]",0.087,0.176,-0.216,0.365,0.002,0.003,5008.0,2733.0,1.0
"high[18, 0]",2.474,0.347,1.902,3.028,0.006,0.004,3961.0,2925.0,1.0
"high[18, 1]",-0.306,0.188,-0.619,-0.007,0.003,0.002,4228.0,2836.0,1.0
"high[19, 0]",1.875,0.302,1.39,2.382,0.004,0.003,5109.0,3021.0,1.0
"high[19, 1]",-0.109,0.162,-0.369,0.162,0.002,0.002,5081.0,3288.0,1.0
"high[20, 0]",2.555,0.335,2.009,3.108,0.004,0.003,6108.0,3178.0,1.0
"high[20, 1]",0.483,0.182,0.172,0.77,0.002,0.002,5856.0,2844.0,1.0
"high[21, 0]",1.845,0.294,1.371,2.317,0.004,0.003,4895.0,3050.0,1.0
"high[21, 1]",-0.139,0.16,-0.4,0.13,0.002,0.002,5047.0,3213.0,1.0
"high[22, 0]",2.437,0.335,1.862,2.95,0.005,0.003,5002.0,3138.0,1.0
"high[22, 1]",-0.069,0.183,-0.35,0.244,0.003,0.003,5049.0,3406.0,1.0
"high[23, 0]",2.332,0.351,1.775,2.929,0.006,0.004,3354.0,3195.0,1.0
"high[23, 1]",-0.406,0.19,-0.701,-0.069,0.003,0.002,3823.0,2788.0,1.0
"high[24, 0]",2.599,0.338,2.033,3.126,0.005,0.003,5672.0,3071.0,1.0
"high[24, 1]",0.22,0.186,-0.089,0.512,0.003,0.002,5388.0,2678.0,1.0
"high[25, 0]",2.024,0.434,1.301,2.71,0.009,0.006,2651.0,2379.0,1.0
"high[25, 1]",-1.135,0.233,-1.518,-0.76,0.004,0.003,2811.0,2587.0,1.0
"high[26, 0]",1.916,0.304,1.399,2.404,0.004,0.003,5265.0,2823.0,1.0
"high[26, 1]",0.06,0.157,-0.18,0.331,0.002,0.002,4848.0,3433.0,1.0
"high[27, 0]",2.026,0.296,1.513,2.496,0.004,0.003,7019.0,3034.0,1.0
"high[27, 1]",0.381,0.163,0.112,0.644,0.002,0.002,6087.0,2835.0,1.0
"high[28, 0]",2.194,0.295,1.688,2.657,0.004,0.003,6409.0,3147.0,1.0
"high[28, 1]",0.364,0.166,0.088,0.626,0.002,0.002,6154.0,3058.0,1.0
"high[29, 0]",1.116,0.281,0.662,1.577,0.004,0.003,5874.0,3185.0,1.0
"high[29, 1]",0.506,0.145,0.264,0.736,0.002,0.001,5866.0,2990.0,1.0
"high[30, 0]",0.994,0.273,0.557,1.447,0.004,0.003,5088.0,2953.0,1.0
"high[30, 1]",0.332,0.145,0.101,0.577,0.002,0.002,5269.0,3153.0,1.0
"high[31, 0]",1.055,0.311,0.519,1.536,0.005,0.003,4243.0,3391.0,1.0
"high[31, 1]",-0.674,0.163,-0.956,-0.43,0.003,0.002,4155.0,3023.0,1.0
"high[32, 0]",2.684,0.33,2.175,3.261,0.004,0.003,6829.0,2607.0,1.0
"high[32, 1]",0.277,0.184,-0.021,0.579,0.002,0.002,5809.0,3235.0,1.0
"high[33, 0]",1.682,0.287,1.187,2.135,0.004,0.003,5734.0,3167.0,1.0
"high[33, 1]",0.667,0.16,0.405,0.923,0.002,0.002,5457.0,3085.0,1.0
"high[34, 0]",2.447,0.332,1.888,2.987,0.005,0.004,4265.0,2850.0,1.0
"high[34, 1]",-0.071,0.182,-0.356,0.245,0.003,0.003,4085.0,2852.0,1.0
"high[35, 0]",0.945,0.277,0.51,1.41,0.004,0.003,3886.0,3148.0,1.0
"high[35, 1]",-0.096,0.145,-0.326,0.141,0.002,0.002,4291.0,3005.0,1.0
"high[36, 0]",2.402,0.316,1.876,2.903,0.004,0.003,5873.0,3300.0,1.0
"high[36, 1]",0.243,0.171,-0.027,0.54,0.002,0.002,5759.0,3036.0,1.0
"high[37, 0]",1.642,0.292,1.205,2.16,0.004,0.003,4591.0,3258.0,1.0
"high[37, 1]",-0.262,0.157,-0.535,-0.018,0.002,0.002,4491.0,3105.0,1.0
"high[38, 0]",1.434,0.287,0.954,1.892,0.004,0.003,5610.0,3397.0,1.0
"high[38, 1]",0.506,0.149,0.28,0.767,0.002,0.002,5523.0,2689.0,1.0
"high[39, 0]",2.46,0.321,1.958,3.006,0.004,0.003,5174.0,3048.0,1.0
"high[39, 1]",0.128,0.172,-0.16,0.396,0.002,0.002,5736.0,3150.0,1.0
"high[40, 0]",1.761,0.29,1.322,2.272,0.004,0.003,5643.0,3224.0,1.0
"high[40, 1]",0.202,0.155,-0.049,0.455,0.002,0.002,5351.0,2941.0,1.0
"high[41, 0]",1.646,0.281,1.211,2.132,0.004,0.003,5836.0,3365.0,1.0
"high[41, 1]",0.014,0.152,-0.238,0.26,0.002,0.002,5501.0,3290.0,1.0
"high[42, 0]",1.161,0.269,0.728,1.608,0.004,0.003,5238.0,3164.0,1.0
"high[42, 1]",0.429,0.147,0.173,0.654,0.002,0.001,6503.0,3076.0,1.0
"high[43, 0]",1.475,0.274,1.026,1.923,0.004,0.003,5403.0,3289.0,1.0
"high[43, 1]",0.023,0.149,-0.222,0.265,0.002,0.002,5781.0,3165.0,1.0
"high[44, 0]",2.46,0.329,1.923,2.992,0.004,0.003,6585.0,2366.0,1.0
"high[44, 1]",0.541,0.184,0.242,0.837,0.002,0.002,7713.0,2871.0,1.0
"high[45, 0]",2.217,0.306,1.751,2.762,0.004,0.003,5893.0,3123.0,1.0
"high[45, 1]",0.123,0.168,-0.171,0.383,0.002,0.002,4596.0,2897.0,1.0
"high[46, 0]",2.597,0.417,1.847,3.215,0.008,0.006,2765.0,2265.0,1.0
"high[46, 1]",-0.594,0.223,-0.94,-0.203,0.004,0.003,2912.0,2230.0,1.0
"high[47, 0]",2.125,0.31,1.595,2.611,0.005,0.003,4281.0,3033.0,1.0
"high[47, 1]",-0.111,0.17,-0.392,0.165,0.003,0.002,4408.0,2939.0,1.0
"high[48, 0]",2.452,0.31,1.959,2.977,0.004,0.003,6699.0,3131.0,1.0
"high[48, 1]",0.413,0.177,0.153,0.736,0.002,0.002,7213.0,3240.0,1.0
"high[49, 0]",1.661,0.411,0.996,2.364,0.006,0.005,4308.0,2796.0,1.0
"high[49, 1]",1.566,0.236,1.2,1.975,0.003,0.002,4987.0,2793.0,1.0
"high[50, 0]",2.161,0.299,1.669,2.645,0.004,0.003,6037.0,3116.0,1.0
"high[50, 1]",0.225,0.165,-0.059,0.49,0.002,0.002,6114.0,2894.0,1.0
"high[51, 0]",2.169,0.307,1.653,2.661,0.004,0.003,5802.0,2988.0,1.0
"high[51, 1]",0.087,0.172,-0.191,0.371,0.002,0.002,5552.0,3043.0,1.0
"high[52, 0]",3.188,0.396,2.549,3.849,0.006,0.005,3942.0,2764.0,1.0
"high[52, 1]",0.237,0.211,-0.11,0.586,0.003,0.003,4810.0,2701.0,1.0
"high[53, 0]",1.614,0.274,1.167,2.075,0.004,0.003,4759.0,2879.0,1.0
"high[53, 1]",-0.011,0.15,-0.251,0.239,0.002,0.002,4912.0,3353.0,1.0
"high[54, 0]",2.813,0.348,2.232,3.388,0.005,0.003,5600.0,2918.0,1.0
"high[54, 1]",0.19,0.195,-0.11,0.522,0.003,0.002,5647.0,2796.0,1.0
"high[55, 0]",1.576,0.283,1.084,2.019,0.004,0.003,4588.0,2986.0,1.0
"high[55, 1]",-0.032,0.152,-0.277,0.219,0.002,0.002,4996.0,3229.0,1.0
"high[56, 0]",2.511,0.412,1.843,3.181,0.008,0.006,3016.0,2641.0,1.0
"high[56, 1]",-0.66,0.22,-1.029,-0.316,0.004,0.003,3281.0,2362.0,1.0
"high[57, 0]",1.747,0.287,1.259,2.191,0.004,0.003,4646.0,3270.0,1.0
"high[57, 1]",-0.04,0.155,-0.299,0.208,0.002,0.002,4255.0,3363.0,1.0
"high[58, 0]",2.777,0.404,2.111,3.419,0.007,0.005,3240.0,2340.0,1.0
"high[58, 1]",-0.42,0.219,-0.763,-0.051,0.004,0.003,3420.0,2644.0,1.0
"high[59, 0]",2.538,0.417,1.873,3.23,0.008,0.006,2726.0,2723.0,1.0
"high[59, 1]",-0.638,0.223,-0.985,-0.254,0.004,0.003,2731.0,2374.0,1.0
"high[60, 0]",2.176,0.315,1.675,2.709,0.004,0.003,5796.0,2800.0,1.0
"high[60, 1]",0.474,0.169,0.174,0.734,0.002,0.002,6647.0,2677.0,1.0
"high[61, 0]",2.361,0.422,1.676,3.037,0.009,0.006,2507.0,2298.0,1.0
"high[61, 1]",-0.799,0.229,-1.165,-0.421,0.004,0.003,3002.0,2408.0,1.0
"high[62, 0]",2.787,0.355,2.247,3.409,0.005,0.004,4381.0,2866.0,1.0
"high[62, 1]",-0.063,0.196,-0.394,0.252,0.003,0.003,4376.0,2991.0,1.0
"high[63, 0]",2.206,0.319,1.656,2.698,0.004,0.003,6538.0,3052.0,1.0
"high[63, 1]",0.706,0.175,0.418,0.993,0.002,0.002,6428.0,3241.0,1.0
"high[64, 0]",2.159,0.302,1.667,2.665,0.004,0.003,5906.0,3028.0,1.0
"high[64, 1]",0.223,0.167,-0.047,0.499,0.002,0.002,5982.0,3029.0,1.0
"high[65, 0]",2.072,0.325,1.515,2.575,0.005,0.004,4228.0,2985.0,1.0
