,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"yh[0, 0]",19.69,2.719,16.0,24.0,0.037,0.026,5355.0,3970.0,1.0
"yh[0, 1]",20.826,2.41,17.0,24.0,0.035,0.025,4672.0,3815.0,1.0
"yh[0, 2]",12.616,3.291,8.0,18.0,0.045,0.032,5391.0,3286.0,1.0
"yh[0, 3]",17.98,3.033,13.0,22.0,0.041,0.029,5406.0,3943.0,1.0
"yh[0, 4]",18.226,2.928,13.0,22.0,0.04,0.029,5332.0,3762.0,1.0
"yh[0, 5]",16.831,3.17,11.0,21.0,0.043,0.03,5550.0,3598.0,1.0
"yh[0, 6]",15.132,3.223,10.0,20.0,0.045,0.032,5091.0,3655.0,1.0
"yh[0, 7]",22.269,2.052,19.0,25.0,0.032,0.023,4125.0,4000.0,1.0
"yh[0, 8]",20.292,2.597,16.0,24.0,0.035,0.025,5397.0,3573.0,1.0
"yh[0, 9]",19.846,2.681,16.0,24.0,0.039,0.028,4640.0,3609.0,1.0
"yh[0, 10]",8.662,3.111,3.0,13.0,0.042,0.03,5257.0,3919.0,1.0
"yh[0, 11]",20.914,2.469,17.0,24.0,0.032,0.022,6206.0,3574.0,1.0
"yh[0, 12]",19.752,2.687,16.0,24.0,0.038,0.027,4964.0,3225.0,1.0
"yh[0, 13]",18.693,2.899,14.0,23.0,0.04,0.029,5177.0,3884.0,1.0
"yh[0, 14]",15.197,3.221,10.0,20.0,0.045,0.032,5083.0,3665.0,1.0
"yh[0, 15]",21.987,2.168,19.0,25.0,0.031,0.022,4787.0,3471.0,1.0
"yh[0, 16]",10.51,3.196,5.0,15.0,0.043,0.031,5481.0,3563.0,1.0
"yh[0, 17]",17.965,3.035,14.0,23.0,0.041,0.029,5384.0,3256.0,1.0
"yh[0, 18]",20.114,2.669,16.0,24.0,0.035,0.025,6025.0,3773.0,1.0
"yh[0, 19]",17.877,3.027,13.0,22.0,0.041,0.029,5339.0,3911.0,1.0
"yh[0, 20]",15.578,3.265,10.0,20.0,0.044,0.032,5493.0,3726.0,1.0
"yh[0, 21]",17.95,3.046,13.0,22.0,0.041,0.029,5514.0,3634.0,1.0
"yh[0, 22]",19.073,2.839,14.0,23.0,0.039,0.027,5466.0,4096.0,1.0
"yh[0, 23]",20.442,2.593,16.0,24.0,0.036,0.025,5181.0,3774.0,1.0
"yh[0, 24]",17.449,3.161,12.0,22.0,0.042,0.03,5549.0,3894.0,1.0
"yh[0, 25]",22.64,1.904,20.0,25.0,0.027,0.019,5027.0,3718.0,1.0
"yh[0, 26]",16.815,3.168,11.0,21.0,0.04,0.028,6473.0,3583.0,1.0
"yh[0, 27]",14.592,3.216,9.0,19.0,0.043,0.031,5545.0,3733.0,1.0
"yh[0, 28]",15.194,3.292,10.0,20.0,0.045,0.032,5386.0,3854.0,1.0
"yh[0, 29]",9.62,3.281,4.0,14.0,0.046,0.033,5102.0,3569.0,1.0
