,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"yf[0, 74]",13.774,4.465,6.0,20.0,0.062,0.045,5191.0,3860.0,1.0
"yf[0, 75]",32.126,5.906,22.0,41.0,0.095,0.067,3898.0,3652.0,1.0
"yf[0, 76]",26.494,5.812,16.0,35.0,0.08,0.058,5334.0,3402.0,1.0
"yf[0, 77]",12.145,4.331,4.0,18.0,0.058,0.043,5636.0,3463.0,1.0
"yf[0, 78]",12.268,4.407,4.0,18.0,0.059,0.043,5471.0,3922.0,1.0
"yf[0, 79]",6.884,3.387,2.0,12.0,0.045,0.033,5736.0,3925.0,1.0
"yf[0, 80]",6.348,3.216,1.0,11.0,0.044,0.033,5261.0,4011.0,1.0
"yf[0, 81]",3.08,2.377,0.0,6.0,0.036,0.028,4484.0,3679.0,1.0
"yf[0, 82]",6.282,3.242,1.0,11.0,0.048,0.036,4629.0,3596.0,1.0
"yf[0, 83]",4.047,2.598,0.0,8.0,0.037,0.026,4805.0,3370.0,1.0
"yf[0, 84]",6.501,3.36,1.0,11.0,0.046,0.034,5191.0,3503.0,1.0
"yf[0, 85]",15.246,4.722,7.0,22.0,0.069,0.049,4717.0,3757.0,1.0
"yf[0, 86]",10.211,4.039,4.0,16.0,0.055,0.041,5482.0,4089.0,1.0
"yf[0, 87]",1.417,1.539,0.0,4.0,0.023,0.017,4595.0,3432.0,1.0
"yf[0, 88]",3.866,2.576,0.0,7.0,0.037,0.027,4931.0,3531.0,1.0
"yf[0, 89]",4.477,2.73,0.0,8.0,0.036,0.027,5823.0,4116.0,1.0
"yf[0, 90]",11.626,4.28,5.0,18.0,0.057,0.042,5806.0,3751.0,1.0
"yf[0, 91]",9.538,3.849,3.0,15.0,0.055,0.041,4964.0,3440.0,1.0
"yf[0, 92]",11.979,4.264,5.0,18.0,0.058,0.041,5402.0,3777.0,1.0
"yf[0, 93]",5.303,3.001,0.0,9.0,0.042,0.031,5088.0,3585.0,1.0
"yf[0, 94]",31.906,5.908,21.0,40.0,0.095,0.068,3843.0,3689.0,1.0
"yf[0, 95]",4.431,2.758,0.0,8.0,0.038,0.028,5326.0,3591.0,1.0
"yf[0, 96]",4.162,2.679,0.0,8.0,0.037,0.028,5315.0,3680.0,1.0
"yf[0, 97]",31.872,5.806,23.0,41.0,0.092,0.066,3989.0,3506.0,1.0
"yf[0, 98]",15.51,4.836,8.0,23.0,0.069,0.049,4928.0,3591.0,1.0
"yf[0, 99]",3.68,2.518,0.0,7.0,0.035,0.027,5348.0,3941.0,1.0
"yf[1, 0]",13.079,4.22,6.0,19.0,0.058,0.042,5316.0,3705.0,1.0
"yf[1, 1]",11.89,4.171,5.0,18.0,0.058,0.042,5179.0,3773.0,1.0
"yf[1, 2]",10.599,3.924,4.0,16.0,0.059,0.043,4664.0,3574.0,1.0
"yf[1, 3]",12.448,4.099,5.0,18.0,0.054,0.039,5757.0,4092.0,1.0
"yf[1, 4]",9.071,3.655,3.0,14.0,0.051,0.037,5289.0,3614.0,1.0
"yf[1, 5]",9.982,3.814,3.0,15.0,0.055,0.04,4768.0,3894.0,1.0
"yf[1, 6]",8.564,3.595,2.0,13.0,0.051,0.037,4872.0,3526.0,1.0
"yf[1, 7]",14.75,4.494,7.0,21.0,0.066,0.048,4712.0,3483.0,1.0
"yf[1, 8]",9.531,3.653,4.0,15.0,0.052,0.038,5068.0,3993.0,1.0
"yf[1, 9]",5.671,2.854,1.0,10.0,0.041,0.03,4841.0,3697.0,1.0
"yf[1, 10]",6.072,2.994,1.0,10.0,0.043,0.031,4833.0,3755.0,1.0
"yf[1, 11]",11.354,3.952,6.0,18.0,0.055,0.039,5255.0,3910.0,1.0
"yf[1, 12]",10.1,3.833,3.0,15.0,0.058,0.042,4308.0,3942.0,1.0
"yf[1, 13]",12.489,4.164,5.0,18.0,0.063,0.045,4418.0,3595.0,1.0
"yf[1, 14]",18.25,4.92,11.0,26.0,0.068,0.049,5273.0,3878.0,1.0
