,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"yh[0, 0]",21.369,2.296,17.0,24.0,0.035,0.025,4140.0,4000.0,1.0
"yh[0, 1]",22.807,1.905,20.0,25.0,0.03,0.021,4206.0,3547.0,1.0
"yh[0, 2]",15.861,3.205,10.0,20.0,0.044,0.031,5227.0,3821.0,1.0
"yh[0, 3]",21.436,2.309,17.0,24.0,0.033,0.024,4805.0,3544.0,1.0
"yh[0, 4]",21.006,2.447,17.0,24.0,0.037,0.026,4412.0,3696.0,1.0
"yh[0, 5]",19.331,2.814,14.0,23.0,0.04,0.028,4956.0,3983.0,1.0
"yh[0, 6]",18.255,2.987,14.0,23.0,0.045,0.032,4450.0,3733.0,1.0
"yh[0, 7]",23.701,1.427,22.0,25.0,0.024,0.017,3320.0,4000.0,1.0
"yh[0, 8]",23.34,1.677,21.0,25.0,0.025,0.018,4446.0,3897.0,1.0
"yh[0, 9]",22.611,1.952,20.0,25.0,0.032,0.022,3743.0,3941.0,1.0
"yh[0, 10]",11.612,3.279,7.0,17.0,0.045,0.032,5223.0,3900.0,1.0
"yh[0, 11]",23.451,1.555,21.0,25.0,0.025,0.018,3849.0,4000.0,1.0
"yh[0, 12]",21.929,2.212,19.0,25.0,0.035,0.024,4207.0,3701.0,1.0
"yh[0, 13]",21.089,2.383,17.0,24.0,0.036,0.026,4293.0,3895.0,1.0
"yh[0, 14]",17.745,3.049,13.0,22.0,0.046,0.033,4356.0,3622.0,1.0
"yh[0, 15]",23.662,1.522,22.0,25.0,0.024,0.017,4178.0,3961.0,1.0
"yh[0, 16]",13.406,3.351,7.0,18.0,0.047,0.034,5041.0,3500.0,1.0
"yh[0, 17]",20.915,2.446,17.0,24.0,0.037,0.026,4372.0,3668.0,1.0
"yh[0, 18]",22.677,1.916,20.0,25.0,0.029,0.02,4360.0,4000.0,1.0
"yh[0, 19]",20.265,2.636,16.0,24.0,0.039,0.028,4495.0,3648.0,1.0
"yh[0, 20]",19.088,2.878,14.0,23.0,0.041,0.029,4818.0,4022.0,1.0
"yh[0, 21]",20.302,2.597,16.0,24.0,0.04,0.029,4106.0,3888.0,1.0
"yh[0, 22]",21.793,2.187,19.0,25.0,0.035,0.025,3862.0,3868.0,1.0
"yh[0, 23]",22.724,1.889,20.0,25.0,0.03,0.021,3986.0,3278.0,1.0
"yh[0, 24]",20.91,2.47,17.0,24.0,0.037,0.026,4521.0,3729.0,1.0
"yh[0, 25]",23.818,1.359,22.0,25.0,0.023,0.016,3387.0,3934.0,1.0
"yh[0, 26]",19.378,2.804,14.0,23.0,0.041,0.029,4669.0,3286.0,1.0
"yh[0, 27]",17.533,3.041,13.0,22.0,0.043,0.03,5143.0,3840.0,1.0
"yh[0, 28]",18.309,2.875,13.0,22.0,0.041,0.029,4933.0,3723.0,1.0
"yh[0, 29]",11.873,3.389,6.0,17.0,0.051,0.037,4525.0,3843.0,1.0
"yh[0, 30]",12.898,3.372,7.0,18.0,0.05,0.036,4476.0,3620.0,1.0
"yh[0, 31]",20.773,2.498,17.0,24.0,0.038,0.027,4358.0,4049.0,1.0
"yh[0, 32]",20.732,2.469,17.0,24.0,0.035,0.025,5053.0,3778.0,1.0
"yh[0, 33]",13.256,3.324,8.0,18.0,0.049,0.035,4535.0,3425.0,1.0
"yh[0, 34]",21.802,2.232,19.0,25.0,0.034,0.024,4310.0,3842.0,1.0
"yh[0, 35]",16.341,3.119,11.0,21.0,0.048,0.034,4218.0,3600.0,1.0
"yh[0, 36]",20.03,2.62,16.0,24.0,0.039,0.028,4624.0,3645.0,1.0
"yh[0, 37]",20.386,2.546,17.0,24.0,0.039,0.028,4072.0,3875.0,1.0
"yh[0, 38]",13.406,3.327,8.0,18.0,0.049,0.035,4608.0,3817.0,1.0
"yh[0, 39]",20.874,2.475,17.0,24.0,0.035,0.025,5069.0,3972.0,1.0
"yh[0, 40]",17.781,2.958,13.0,22.0,0.044,0.031,4542.0,3918.0,1.0
"yh[0, 41]",18.642,2.909,14.0,23.0,0.043,0.031,4513.0,3858.0,1.0
"yh[0, 42]",12.832,3.365,7.0,18.0,0.051,0.036,4419.0,3873.0,1.0
"yh[0, 43]",17.907,2.993,13.0,22.0,0.048,0.034,3889.0,3628.0,1.0
"yh[0, 44]",18.224,3.031,14.0,23.0,0.043,0.031,4977.0,3468.0,1.0
"yh[0, 45]",20.025,2.641,16.0,24.0,0.041,0.029,4276.0,3829.0,1.0
"yh[0, 46]",23.489,1.585,21.0,25.0,0.027,0.019,3333.0,3964.0,1.0
"yh[0, 47]",21.085,2.409,17.0,24.0,0.038,0.027,3899.0,3529.0,1.0
"yh[0, 48]",19.07,2.882,14.0,23.0,0.04,0.028,5158.0,3863.0,1.0
"yh[0, 49]",5.262,2.724,1.0,9.0,0.036,0.027,5570.0,3575.0,1.0
"yh[0, 50]",19.254,2.808,14.0,23.0,0.041,0.029,4671.0,3601.0,1.0
"yh[0, 51]",20.138,2.591,16.0,24.0,0.039,0.028,4420.0,3499.0,1.0
"yh[0, 52]",22.279,2.066,20.0,25.0,0.03,0.021,4816.0,3999.0,1.0
"yh[0, 53]",18.612,2.895,13.0,22.0,0.044,0.031,4237.0,4099.0,1.0
"yh[0, 54]",21.604,2.321,18.0,25.0,0.035,0.024,4591.0,4000.0,1.0
"yh[0, 55]",18.686,2.895,14.0,23.0,0.043,0.03,4557.0,3729.0,1.0
"yh[0, 56]",23.583,1.502,22.0,25.0,0.023,0.016,4317.0,4000.0,1.0
"yh[0, 57]",19.458,2.735,15.0,23.0,0.041,0.029,4484.0,3458.0,1.0
"yh[0, 58]",23.433,1.62,21.0,25.0,0.025,0.018,4188.0,3909.0,1.0
"yh[0, 59]",23.55,1.562,21.0,25.0,0.024,0.017,4191.0,3867.0,1.0
"yh[0, 60]",17.479,3.068,12.0,22.0,0.044,0.031,4907.0,3450.0,1.0
"yh[0, 61]",23.639,1.506,22.0,25.0,0.023,0.016,4371.0,3863.0,1.0
"yh[0, 62]",22.473,2.043,20.0,25.0,0.031,0.022,4280.0,4000.0,1.0
"yh[0, 63]",15.646,3.219,10.0,20.0,0.045,0.032,5265.0,3481.0,1.0
"yh[0, 64]",19.27,2.759,15.0,23.0,0.041,0.029,4608.0,3757.0,1.0
"yh[0, 65]",21.983,2.162,19.0,25.0,0.034,0.024,4016.0,4000.0,1.0
"yh[0, 66]",21.292,2.338,17.0,24.0,0.035,0.025,4535.0,4000.0,1.0
"yh[0, 67]",14.017,3.35,9.0,19.0,0.048,0.035,4928.0,3589.0,1.0
"yh[0, 68]",20.128,2.58,16.0,24.0,0.04,0.028,4316.0,3457.0,1.0
"yh[0, 69]",21.663,2.292,19.0,25.0,0.035,0.025,4313.0,4000.0,1.0
"yh[0, 70]",20.537,2.536,17.0,24.0,0.038,0.027,4461.0,3953.0,1.0
"yh[0, 71]",23.789,1.406,22.0,25.0,0.023,0.016,3866.0,4000.0,1.0
"yh[0, 72]",23.098,1.768,21.0,25.0,0.028,0.02,4016.0,4000.0,1.0
"yh[0, 73]",17.606,3.063,12.0,22.0,0.044,0.031,4844.0,3704.0,1.0
"yh[0, 74]",20.298,2.566,16.0,24.0,0.037,0.026,4707.0,3764.0,1.0
"yh[0, 75]",23.737,1.43,22.0,25.0,0.023,0.016,4021.0,3788.0,1.0
"yh[0, 76]",15.572,3.262,10.0,20.0,0.05,0.035,4345.0,3950.0,1.0
"yh[0, 77]",21.053,2.435,17.0,24.0,0.038,0.027,4088.0,3557.0,1.0
